scenario,year,remaining_aoh_km2,loss_from_2026_km2
Current pressure,2026,28624.0,0.0
Current pressure,2027,28526.014432143435,97.98556785656547
Current pressure,2028,28428.41838474352,195.5816152564803
Current pressure,2029,28331.21004657576,292.7899534242388
Current pressure,2030,28234.387616292803,389.6123837071973
Current pressure,2031,28137.94930236168,486.0506976383185
Current pressure,2032,28041.8933230016,582.106676998399
Current pressure,2033,27946.217906122067,677.7820938779332
Current pressure,2034,27850.921289261547,773.0787107384531
Current pressure,2035,27756.001719526546,867.9982804734536
Enforcement,2026,28624.0,0.0
Enforcement,2027,28553.450391143273,70.54960885672699
Enforcement,2028,28483.102709691273,140.89729030872695
Enforcement,2029,28412.956279608083,211.0437203919173
Enforcement,2030,28343.010427512145,280.9895724878552
Enforcement,2031,28273.26448266414,350.7355173358592
Enforcement,2032,28203.7177769549,420.28222304509836
Enforcement,2033,28134.369644893402,489.63035510659756
Enforcement,2034,28065.21942359483,558.78057640517
Enforcement,2035,27996.26645276868,627.7335472313207
Corridor restoration,2026,28624.0,0.0
Corridor restoration,2027,28565.20865928606,58.79134071393855
Corridor restoration,2028,28506.557545936517,117.44245406348273
Corridor restoration,2029,28448.046268726874,175.95373127312632
Corridor restoration,2030,28389.67443771272,234.32556228727844
Corridor restoration,2031,28331.441664224847,292.55833577515295
Corridor restoration,2032,28273.34756086437,350.6524391356288
Corridor restoration,2033,28215.39174149793,408.6082585020704
Corridor restoration,2034,28157.57382125286,466.4261787471405
Corridor restoration,2035,28099.893416512383,524.1065834876172
Integrated protection,2026,28624.0,0.0
Integrated protection,2027,28582.84606150024,41.15393849975953
Integrated protection,2028,28541.760834409037,82.23916559096324
Integrated protection,2029,28500.744184536386,123.25581546361354
Integrated protection,2030,28459.795977999634,164.2040220003655
Integrated protection,2031,28418.916081222655,205.0839187773454
Integrated protection,2032,28378.104360935024,245.89563906497642
Integrated protection,2033,28337.360684171228,286.63931582877194
Integrated protection,2034,28296.68491826982,327.3150817301794
Integrated protection,2035,28256.076930872634,367.92306912736603
High-pressure future,2026,28624.0,0.0
High-pressure future,2027,28481.920926607978,142.0790733920221
High-pressure future,2028,28340.660819976067,283.3391800239333
High-pressure future,2029,28200.214158359995,423.78584164000495
High-pressure future,2030,28060.575463677407,563.4245363225928
High-pressure future,2031,27921.739301105852,702.2606988941479
High-pressure future,2032,27783.700278684955,840.2997213150447
High-pressure future,2033,27646.453046922776,977.5469530772243
High-pressure future,2034,27509.99229840632,1114.0077015936804
High-pressure future,2035,27374.312767416093,1249.6872325839067
